vehicle_id,model_name,brand,body_type,segment,usable_battery_kwh,real_range_km,efficiency_wh_km,acceleration_0_100_s,top_speed_km_h,towing_capacity_kg,price_eur,charging_time_min,max_charging_power_kw,horsepower_hp,torque_nm,maintenance_cost_euro_year,seating_capacity,boot_capacity_l,adas_level,safety_rating_euro_ncap,usage_type,energy_cost_euro_100km,insurance_rating,powertrain_type,fuel_type,segment_system,adas_level_clean,vehicle_classification
1881,Volvo W5 Pro,Volvo,Hatchback,C,0,878,537,8.3,246,615,42889,0,0,209,361,554,5,442,1,5,Commercial,8.86,4,Diesel,Diesel,Vehicle_Size,1,ICE
1882,Nissan R5 Pro,Nissan,Crossover,D,0.9,900,312,8.8,250,1419,66977,0,0,256,397,628,7,530,2,3,Personal,5.36,7,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
1883,Fiat E2,Fiat,SUV,C,0,1100,472,9,250,1952,47826,0,0,214,356,673,5,703,1,4,Personal,7.79,3,Diesel,Diesel,Vehicle_Size,1,ICE
1884,Hyundai MM8,Hyundai,Coupe,E,0,1100,500,7.8,250,368,79045,0,0,280,488,606,4,215,2,3,Personal,8.25,6,Diesel,Diesel,Vehicle_Size,2,ICE
1885,Skoda FF-6,Skoda,MPV,C,0,1066,450,9.5,236,1245,47605,0,0,191,354,458,6,961,1,5,Personal,7.09,4,Diesel,Diesel,Vehicle_Size,1,ICE
1886,Skoda HH-88,Skoda,MPV,C,0,1090,482,8.9,250,1144,48584,0,0,216,424,550,8,682,1,4,Personal,7.95,3,Diesel,Diesel,Vehicle_Size,1,ICE
1887,Mercedes-Benz LL4,Mercedes-Benz,SUV,F,0,1100,515,7.4,250,1770,105039,0,0,321,629,678,5,514,2,5,Personal,8.49,7,Diesel,Diesel,Vehicle_Size,2,ICE
1888,Renault I-Class,Renault,Sedan,B,0,765,546,10.2,207,906,35696,0,0,133,173,342,5,419,1,4,Commercial,10.43,4,Petrol,Petrol,Vehicle_Size,1,ICE
1889,Vauxhall D77,Vauxhall,Crossover,D,0,779,700,10.6,203,1357,48649,0,0,104,163,534,6,674,0,4,Personal,13.69,3,Petrol,Petrol,Vehicle_Size,0,ICE
1890,Alfa Romeo N8x,Alfa Romeo,Crossover,A,0,895,450,10.3,191,1485,19984,0,0,70,104,685,7,495,0,4,Personal,7.65,2,Petrol,Petrol,Vehicle_Size,0,ICE
1891,Peugeot R1,Peugeot,Crossover,C,0,809,558,10.6,240,1623,42222,0,0,165,265,453,6,514,1,3,Personal,10.67,3,Petrol,Petrol,Vehicle_Size,1,ICE
1892,Hyundai M1 Pro,Hyundai,SUV,B,0,647,666,9.5,225,1791,32810,0,0,141,246,789,6,535,1,5,Commercial,12.72,5,Petrol,Petrol,Vehicle_Size,1,ICE
1893,Toyota B9x,Toyota,Hatchback,C,1.3,900,500,10.9,242,1120,44858,0,0,155,261,458,5,366,1,3,Personal,9.04,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1894,Volkswagen SS8,Volkswagen,Sedan,D,0,1100,450,9.3,241,911,54746,0,0,181,305,582,5,421,1,4,Personal,6.63,5,Diesel,Diesel,Vehicle_Size,1,ICE
1895,Opel T-Class,Opel,Hatchback,A,0,771,471,11.7,193,556,28661,0,0,91,174,612,5,429,0,4,Personal,7.76,2,Diesel,Diesel,Vehicle_Size,0,ICE
1896,Audi 222,Audi,Hatchback,B,1.3,900,399,10.7,234,637,33835,0,0,148,199,533,5,411,1,5,Personal,6.86,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1897,Mazda 222,Mazda,MPV,C,0,1100,450,11.9,176,968,36575,0,0,70,110,339,7,543,0,5,Personal,6.08,4,Diesel,Diesel,Vehicle_Size,0,ICE
1898,Citroën F9 Pro,Citroën,Hatchback,B,1.4,900,399,9.9,224,829,38726,0,0,159,224,575,5,446,1,4,Personal,6.85,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1899,BMW 888,BMW,Crossover,C,1.7,900,452,8.9,217,1693,48680,0,0,171,257,562,6,733,1,4,Personal,7.76,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1900,Volkswagen CC-7,Volkswagen,MPV,F,0,1100,450,6.9,250,1301,110856,0,0,330,513,616,8,935,2,5,Personal,8.34,8,Petrol,Petrol,Vehicle_Size,2,ICE
1901,Toyota P-Class,Toyota,SUV,B,0,918,450,10.5,230,1699,29087,0,0,110,165,525,5,573,0,5,Personal,8.48,3,Petrol,Petrol,Vehicle_Size,0,ICE
1902,Volkswagen V66,Volkswagen,SUV,C,0,770,700,10.7,200,1695,40108,0,0,105,194,616,7,644,0,4,Personal,11.57,3,Diesel,Diesel,Vehicle_Size,0,ICE
1903,Vauxhall 666,Vauxhall,Wagon,C,13.7,900,428,9.7,222,1288,41984,22,0,126,172,419,5,676,1,4,Personal,5.42,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1904,Audi RR-77,Audi,Sedan,C,11.2,900,487,8.5,250,837,55339,37,0,231,360,653,5,392,1,5,Personal,6,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1905,Lexus N5,Lexus,SUV,B,0,715,567,9,204,1697,30601,0,0,104,172,489,5,655,0,3,Personal,9.35,3,Diesel,Diesel,Vehicle_Size,0,ICE
1906,Alfa Romeo U7,Alfa Romeo,Coupe,D,10.2,900,500,8.2,250,383,67376,36,0,247,367,783,4,259,2,5,Personal,6.68,6,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
1907,Fiat A4,Fiat,Wagon,C,0,773,634,10.6,193,1424,39127,0,0,117,209,695,5,845,0,4,Personal,10.46,3,Diesel,Diesel,Vehicle_Size,0,ICE
1908,BMW OO3,BMW,Coupe,D,0,736,700,8.9,242,444,53537,0,0,189,259,444,3,295,1,4,Personal,14.73,4,Petrol,Petrol,Vehicle_Size,1,ICE
1909,Ford H-Class,Ford,Pickup,C,0,906,501,10.2,189,2500,42521,0,0,127,190,674,2,0,1,4,Personal,9.56,3,Petrol,Petrol,Vehicle_Size,1,ICE
1910,Land Rover P4 Pro,Land Rover,SUV,C,0,981,521,10.1,212,1866,44719,0,0,149,287,638,5,584,1,4,Personal,8.59,3,Diesel,Diesel,Vehicle_Size,1,ICE
1911,Volkswagen XX3,Volkswagen,Wagon,E,1.4,900,380,8.8,250,1098,73226,0,0,261,376,670,5,787,2,5,Commercial,6.52,6,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
1912,Renault EE-4,Renault,Crossover,E,0,1100,486,7.8,250,1505,85248,0,0,323,624,672,6,481,2,4,Personal,8.02,7,Diesel,Diesel,Vehicle_Size,2,ICE
1913,Land Rover F-Class,Land Rover,Crossover,E,0,991,627,7.2,250,1380,84593,0,0,327,463,605,6,497,2,5,Personal,11.97,6,Petrol,Petrol,Vehicle_Size,2,ICE
1914,Toyota S1,Toyota,Wagon,B,10.2,900,300,10,229,1374,39109,28,0,150,251,507,5,739,1,4,Personal,5,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1915,Audi S66,Audi,Wagon,F,0,1060,692,7.4,250,1091,106247,0,0,318,512,577,5,803,2,4,Personal,11.41,9,Diesel,Diesel,Vehicle_Size,2,ICE
1916,Renault 666,Renault,Convertible,D,14.1,900,300,10.9,224,44,54822,46,0,162,287,323,4,294,1,4,Sports,5,5,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
1917,Mazda WW-4,Mazda,SUV,D,0,848,643,10.3,216,1741,53386,0,0,149,236,513,7,722,1,4,Commercial,10.61,4,Diesel,Diesel,Vehicle_Size,1,ICE
1918,Suzuki KK-3,Suzuki,Crossover,D,0,1037,546,8.5,250,1389,63114,0,0,248,446,522,6,654,2,5,Personal,10.43,5,Petrol,Petrol,Vehicle_Size,2,ICE
1919,Lexus I4x,Lexus,Sedan,F,0,1100,453,8.5,250,1029,109098,0,0,276,449,535,5,560,2,4,Personal,7.48,9,Diesel,Diesel,Vehicle_Size,2,ICE
1920,Dacia MM-1,Dacia,Crossover,C,0.9,898,467,10,214,1437,44312,0,0,152,252,611,5,692,1,4,Personal,8.03,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1921,Volvo P22,Volvo,Wagon,D,8.8,900,333,8.3,250,980,60828,56,0,221,321,612,5,766,1,3,Sports,5,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1922,Opel A8x,Opel,Coupe,D,9.4,900,431,10.9,195,551,49745,46,0,111,149,445,2,292,0,4,Commercial,5.43,4,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
1923,Lamborghini NN-1,Lamborghini,SUV,D,0,1100,450,10,212,1715,50844,0,0,155,234,556,7,536,1,4,Personal,7.29,3,Diesel,Diesel,Vehicle_Size,1,ICE
1924,Skoda PP-77,Skoda,SUV,D,1.8,900,426,9.7,240,1819,56477,0,0,161,222,574,6,729,1,4,Personal,7.32,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1925,Peugeot GG-7,Peugeot,SUV,B,1.9,702,500,10.9,186,1903,35021,0,0,113,171,431,6,667,0,4,Personal,9.04,4,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
1926,Volkswagen 333,Volkswagen,Hatchback,C,0,971,511,8.6,250,743,44136,0,0,170,312,296,5,342,1,4,Personal,8.44,3,Diesel,Diesel,Vehicle_Size,1,ICE
1927,Skoda T9 Pro,Skoda,Sedan,C,0,886,570,8.8,238,1007,46955,0,0,201,356,764,5,446,1,4,Personal,9.4,4,Diesel,Diesel,Vehicle_Size,1,ICE
1928,Mitsubishi 444,Mitsubishi,MPV,D,0,1100,450,9,240,1044,52481,0,0,178,331,593,5,990,1,5,Personal,7,3,Diesel,Diesel,Vehicle_Size,1,ICE
1929,Volkswagen 666,Volkswagen,Sedan,D,0,1045,608,8.9,231,1044,58573,0,0,187,289,644,5,600,1,4,Personal,10.02,4,Diesel,Diesel,Vehicle_Size,1,ICE
1930,Fiat OO4,Fiat,Pickup,D,0,830,609,9.3,243,2464,53589,0,0,185,303,582,4,0,1,4,Personal,11.64,5,Petrol,Petrol,Vehicle_Size,1,ICE
1931,Mazda CC-9,Mazda,Sedan,D,15,900,412,8.9,235,729,52978,51,0,183,309,387,5,397,1,4,Commercial,5.24,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1932,Nissan QQ5,Nissan,Wagon,C,16.6,900,375,10.4,232,905,41958,40,0,187,264,480,5,520,1,4,Personal,5,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1933,Kia D8 Pro,Kia,Crossover,B,1,618,500,10.1,210,1463,37562,0,0,158,268,543,7,714,1,5,Commercial,10.34,3,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
1934,Ford A7,Ford,Wagon,D,0,848,643,10.7,184,1106,45678,0,0,81,116,475,5,771,0,4,Personal,12.29,3,Petrol,Petrol,Vehicle_Size,0,ICE
1935,Mitsubishi N2x,Mitsubishi,Crossover,E,11,900,380,6.4,250,1408,83995,24,0,301,457,494,7,594,2,4,Personal,5,6,Hybrid,Diesel+Electric,Vehicle_Size,2,Hybrid
1936,Mercedes-Benz MM5,Mercedes-Benz,Wagon,D,0,1075,568,8.6,250,1240,59327,0,0,210,411,667,5,849,1,4,Commercial,9.36,5,Diesel,Diesel,Vehicle_Size,1,ICE
1937,Lamborghini 555,Lamborghini,MPV,E,15.6,900,416,7.5,250,1406,79202,32,0,285,469,690,7,738,2,5,Personal,5,7,Hybrid,Diesel+Electric,Vehicle_Size,2,Hybrid
1938,Lexus XX-2,Lexus,Crossover,F,0,1088,611,5.7,250,1392,110362,0,0,382,682,684,5,534,3,4,Personal,10.08,10,Diesel,Diesel,Vehicle_Size,3,ICE
1939,Peugeot Q1x,Peugeot,Hatchback,C,0,913,489,12.5,192,711,38537,0,0,89,151,673,5,339,0,4,Personal,8.07,3,Diesel,Diesel,Vehicle_Size,0,ICE
1940,Volkswagen Z-Class,Volkswagen,Sedan,D,0,1100,514,9.2,220,832,47396,0,0,140,221,598,5,441,1,4,Personal,9.81,4,Petrol,Petrol,Vehicle_Size,1,ICE
1941,Peugeot E4,Peugeot,Wagon,C,0,635,700,10.2,221,1082,35440,0,0,142,222,582,5,614,1,5,Commercial,14.37,3,Petrol,Petrol,Vehicle_Size,1,ICE
1942,Alfa Romeo T11,Alfa Romeo,SUV,C,13.8,900,324,11.1,183,1678,40186,47,0,77,138,436,7,491,0,5,Personal,5,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
1943,Fiat R33,Fiat,Crossover,B,1.2,900,312,10.2,211,1697,36322,0,0,132,225,509,6,564,1,4,Personal,5.36,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1944,Audi X88,Audi,Crossover,B,0,913,462,8.6,228,1502,44649,0,0,164,256,698,5,596,1,4,Personal,7.61,3,Diesel,Diesel,Vehicle_Size,1,ICE
1945,Ford B4,Ford,SUV,B,1.7,900,391,9.9,199,1777,38780,0,0,156,235,370,5,719,1,4,Personal,6.72,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1946,Aston Martin M-Class,Aston Martin,Wagon,D,17.8,900,376,9,250,1118,62163,21,0,218,348,415,5,575,1,4,Personal,5.1,6,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1947,Renault O33,Renault,Wagon,B,0,878,477,10.9,220,1208,32239,0,0,121,229,523,5,897,1,4,Commercial,7.88,2,Diesel,Diesel,Vehicle_Size,1,ICE
1948,Porsche R33,Porsche,Wagon,C,1.8,900,378,10.2,243,1123,46472,0,0,153,212,539,5,736,1,3,Personal,6.49,6,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1949,Volkswagen M22,Volkswagen,Wagon,C,0,870,533,11.1,227,1432,39038,0,0,126,215,514,5,576,1,4,Personal,10.18,3,Petrol,Petrol,Vehicle_Size,1,ICE
1950,Aston Martin A88,Aston Martin,MPV,C,10.7,900,480,8.3,241,1230,43405,55,0,179,289,620,5,786,1,4,Personal,5.4,3,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
1951,Dacia KK-7,Dacia,Crossover,E,0,1061,594,9.2,230,1517,70235,0,0,188,251,592,5,591,1,4,Personal,11.35,5,Petrol,Petrol,Vehicle_Size,1,ICE
1952,Volkswagen II6,Volkswagen,Pickup,C,1.1,900,438,10.2,250,2500,51518,0,0,229,304,590,4,0,1,4,Personal,7.53,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1953,Hyundai A6,Hyundai,Hatchback,B,0,746,585,11.7,184,857,27925,0,0,85,140,465,5,328,0,4,Personal,11.17,3,Petrol,Petrol,Vehicle_Size,0,ICE
1954,Dacia Q1,Dacia,Crossover,F,0,1100,475,5.9,250,1497,114786,0,0,342,574,753,6,593,2,4,Personal,9.08,9,Petrol,Petrol,Vehicle_Size,2,ICE
1955,Land Rover O11,Land Rover,Wagon,D,0,857,650,9.3,235,1143,58256,0,0,193,281,710,5,777,1,3,Commercial,12.42,4,Petrol,Petrol,Vehicle_Size,1,ICE
1956,Dacia N9 Pro,Dacia,SUV,D,0,771,668,9.5,213,1819,49626,0,0,144,199,501,5,461,1,4,Personal,12.77,5,Petrol,Petrol,Vehicle_Size,1,ICE
1957,Toyota F22,Toyota,Sedan,D,0,1100,473,8,250,995,63223,0,0,257,416,701,5,601,2,3,Personal,7.8,5,Diesel,Diesel,Vehicle_Size,2,ICE
1958,BMW M4,BMW,Crossover,B,14.1,900,367,10.6,250,1642,39745,48,0,183,274,529,7,745,1,4,Personal,5,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1959,Vauxhall 222,Vauxhall,SUV,D,1.6,900,409,10.5,233,1826,52577,0,0,152,246,396,6,795,1,4,Personal,7.04,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1960,Nissan 888,Nissan,MPV,B,13.1,900,300,9.3,218,1228,38695,29,0,137,191,332,8,985,1,4,Personal,5,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1961,Nissan S8x,Nissan,SUV,C,8.2,900,300,9.1,244,1919,45859,56,0,178,302,698,5,505,1,4,Sports,5,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1962,Fiat U11,Fiat,Hatchback,B,1.7,900,463,11.3,189,372,29682,0,0,70,100,588,5,339,0,4,Commercial,7.96,1,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
1963,Toyota Q-Class,Toyota,Crossover,D,0,1100,477,10.6,194,1511,46975,0,0,105,179,561,5,700,0,3,Personal,9.1,4,Petrol,Petrol,Vehicle_Size,0,ICE
1964,Audi E-Class,Audi,SUV,B,0,775,567,11.3,212,1730,26265,0,0,82,144,619,5,493,0,3,Personal,10.83,1,Petrol,Petrol,Vehicle_Size,0,ICE
1965,Hyundai M2 Pro,Hyundai,Hatchback,B,1.6,900,448,10.6,185,707,32647,0,0,87,121,406,5,465,0,5,Commercial,7.7,3,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
1966,BMW QQ-44,BMW,Crossover,B,0,1100,450,10.8,174,1543,28827,0,0,88,179,660,5,454,0,3,Commercial,6.74,3,Diesel,Diesel,Vehicle_Size,0,ICE
1967,Hyundai H99,Hyundai,SUV,D,1.4,900,369,9.3,233,1949,58914,0,0,162,269,589,6,806,1,4,Personal,6.35,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1968,Vauxhall E44,Vauxhall,Hatchback,C,1.5,900,455,9.5,239,534,45838,0,0,165,288,497,5,421,1,4,Personal,7.82,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1969,Lamborghini 222,Lamborghini,Crossover,C,0,842,616,10.9,209,1414,41407,0,0,124,211,298,6,504,1,5,Personal,10.16,4,Diesel,Diesel,Vehicle_Size,1,ICE
1970,Volvo K2x,Volvo,Crossover,C,1.6,900,386,9.1,250,1393,51970,0,0,215,372,407,7,490,1,4,Personal,6.63,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1971,Opel HH-5,Opel,Wagon,D,0,916,681,8.5,250,1127,54804,0,0,212,375,834,5,731,1,4,Personal,11.23,6,Diesel,Diesel,Vehicle_Size,1,ICE
1972,Dacia Z55,Dacia,SUV,B,0.8,900,339,10.3,226,1636,41821,0,0,172,240,755,6,514,1,5,Commercial,5.04,3,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
1973,Hyundai XX8,Hyundai,Sedan,E,0,1100,450,10.1,234,1156,67054,0,0,182,328,389,5,509,1,4,Personal,7.65,6,Petrol,Petrol,Vehicle_Size,1,ICE
1974,Skoda R5 Pro,Skoda,MPV,C,1.3,900,312,10.1,224,1304,45260,0,0,145,257,297,7,879,1,4,Personal,5.36,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1975,Audi L77,Audi,Crossover,B,0,867,502,10.1,219,1407,38072,0,0,135,212,738,7,702,1,3,Personal,8.28,4,Diesel,Diesel,Vehicle_Size,1,ICE
1976,Renault WW3,Renault,Hatchback,B,0,890,479,11.1,239,702,34595,0,0,148,260,579,5,516,1,4,Personal,7.9,3,Diesel,Diesel,Vehicle_Size,1,ICE
1977,Lancia Z7,Lancia,Coupe,A,0,553,641,12.1,200,448,26452,0,0,79,163,461,3,213,0,4,Personal,10.58,2,Diesel,Diesel,Vehicle_Size,0,ICE
1978,Porsche G3,Porsche,Sedan,C,0,697,613,9.5,194,919,39426,0,0,125,197,377,5,585,1,4,Personal,11.71,3,Petrol,Petrol,Vehicle_Size,1,ICE
1979,Hyundai E1,Hyundai,Wagon,B,0,791,543,11.6,198,1108,29260,0,0,99,154,361,5,709,0,5,Personal,10.38,2,Petrol,Petrol,Vehicle_Size,0,ICE
1980,Renault FF-7,Renault,Wagon,E,0,1100,527,9.3,250,1017,79392,0,0,253,407,808,5,829,2,4,Personal,8.7,6,Diesel,Diesel,Vehicle_Size,2,ICE
1981,Mini AA8,Mini,Pickup,C,0,1008,529,8.8,250,2431,44902,0,0,247,428,678,2,0,2,4,Personal,8.73,5,Diesel,Diesel,Vehicle_Size,2,ICE
1982,Seat MM-44,Seat,Pickup,B,0,661,563,10.1,202,2500,35850,0,0,128,198,311,5,0,1,3,Commercial,10.75,3,Petrol,Petrol,Vehicle_Size,1,ICE
1983,Vauxhall P4x,Vauxhall,Sedan,C,0,803,562,9.6,233,722,43489,0,0,162,308,513,5,488,1,4,Commercial,9.27,5,Diesel,Diesel,Vehicle_Size,1,ICE
1984,Peugeot UU-55,Peugeot,Wagon,B,0,682,651,12.2,181,1332,29239,0,0,80,140,738,5,697,0,4,Personal,10.74,3,Diesel,Diesel,Vehicle_Size,0,ICE
1985,Nissan P2 Pro,Nissan,Sedan,B,0,697,602,11.7,167,967,27807,0,0,81,150,585,5,617,0,5,Personal,9.92,2,Diesel,Diesel,Vehicle_Size,0,ICE
1986,Aston Martin V-Class,Aston Martin,Crossover,C,0,818,512,10.6,203,1452,42273,0,0,136,184,364,6,577,1,4,Personal,9.77,5,Petrol,Petrol,Vehicle_Size,1,ICE
1987,Peugeot LL3,Peugeot,Crossover,B,0,694,534,11.2,227,1590,34459,0,0,160,269,468,7,699,1,4,Commercial,10.19,4,Petrol,Petrol,Vehicle_Size,1,ICE
1988,Honda L-Class,Honda,Hatchback,B,0,852,527,9.9,218,725,33457,0,0,122,183,560,5,482,1,4,Personal,8.69,2,Diesel,Diesel,Vehicle_Size,1,ICE
1989,DS Automobiles P2 Pro,DS Automobiles,Hatchback,E,1.1,900,500,8,250,444,74108,0,0,269,436,725,5,511,2,5,Personal,9.6,5,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
1990,Audi RR5,Audi,Hatchback,D,1.2,900,487,9.5,227,651,57609,0,0,185,317,549,5,334,1,4,Personal,7.23,6,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
1991,BMW 777,BMW,Hatchback,E,1.7,900,312,9,250,655,74392,0,0,205,346,738,5,453,1,5,Personal,5.36,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1992,Subaru S3,Subaru,Sedan,B,0,658,608,8.9,235,1073,38347,0,0,147,233,620,5,546,1,5,Commercial,10.02,3,Diesel,Diesel,Vehicle_Size,1,ICE
1993,Skoda 888,Skoda,MPV,E,1.2,900,500,8.7,250,1152,79734,0,0,265,456,334,7,619,2,5,Commercial,10.04,6,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
1994,BMW 999,BMW,SUV,C,0,783,584,9.1,235,1775,48862,0,0,178,274,671,6,643,1,5,Personal,9.63,3,Diesel,Diesel,Vehicle_Size,1,ICE
1995,Lamborghini E-Class,Lamborghini,Coupe,B,0,1058,450,9.8,219,361,36170,0,0,136,209,560,2,320,1,3,Sports,7.4,5,Diesel,Diesel,Vehicle_Size,1,ICE
1996,Hyundai P-Class,Hyundai,Coupe,D,0,925,582,9.8,228,492,48206,0,0,151,259,480,3,259,1,4,Commercial,11.12,3,Petrol,Petrol,Vehicle_Size,1,ICE
1997,Citroën C9 Pro,Citroën,Wagon,A,15.4,720,500,10.3,229,1057,31319,57,0,124,173,572,5,834,1,4,Commercial,6.27,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
1998,Skoda N99,Skoda,SUV,C,0,811,655,10.6,225,1930,39903,0,0,108,190,535,5,681,0,4,Personal,10.8,3,Diesel,Diesel,Vehicle_Size,0,ICE
1999,Vauxhall EE-4,Vauxhall,Convertible,D,0,998,518,9.8,250,0,52362,0,0,199,351,593,2,221,1,4,Personal,9.9,4,Petrol,Petrol,Vehicle_Size,1,ICE
2000,Volvo G6,Volvo,Wagon,C,0,1093,450,10.8,222,1057,36460,0,0,142,200,473,5,809,1,4,Personal,8.51,3,Petrol,Petrol,Vehicle_Size,1,ICE
2001,Vauxhall U3 Pro,Vauxhall,Wagon,C,1.8,900,468,8.5,250,1347,51640,0,0,232,392,521,5,733,1,4,Personal,8.05,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
2002,Alfa Romeo R1 Pro,Alfa Romeo,MPV,C,16.5,900,314,9.9,219,1043,40516,49,0,135,215,664,7,982,1,4,Personal,5,4,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
2003,Dacia M9 Pro,Dacia,Crossover,A,1.6,738,500,11.3,187,1531,25173,0,0,70,105,506,7,454,0,4,Personal,9.27,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
2004,Mazda XX-9,Mazda,SUV,F,0,1000,598,6.9,250,1622,113189,0,0,303,464,681,5,674,2,4,Personal,11.43,8,Petrol,Petrol,Vehicle_Size,2,ICE
2005,Mercedes-Benz M33,Mercedes-Benz,MPV,B,0,657,628,10.2,243,1235,34776,0,0,139,210,464,5,573,1,4,Personal,12,2,Petrol,Petrol,Vehicle_Size,1,ICE
2006,Jaguar 333,Jaguar,SUV,B,2,900,351,10.8,175,1928,28507,0,0,70,120,620,7,758,0,4,Personal,6.04,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
2007,Volvo XX-3,Volvo,Coupe,B,0,814,568,11,248,422,39270,0,0,165,324,624,2,272,1,3,Personal,9.36,3,Diesel,Diesel,Vehicle_Size,1,ICE
2008,Audi U7 Pro,Audi,Hatchback,E,0,1100,450,8.5,244,558,76188,0,0,242,359,554,5,378,2,4,Personal,8.27,6,Petrol,Petrol,Vehicle_Size,2,ICE
2009,Audi II-1,Audi,Hatchback,D,0,1071,519,9.5,226,562,52769,0,0,159,302,748,5,414,1,5,Personal,8.56,5,Diesel,Diesel,Vehicle_Size,1,ICE
2010,Honda K7x,Honda,SUV,C,0,793,625,10.8,211,1793,40465,0,0,130,204,488,7,518,1,4,Sports,11.94,2,Petrol,Petrol,Vehicle_Size,1,ICE
2011,Volkswagen O8 Pro,Volkswagen,Hatchback,F,1.5,900,322,6.5,250,931,116703,0,0,315,528,661,5,394,2,5,Personal,5.53,9,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
2012,Citroën LL-33,Citroën,Pickup,A,1.3,900,326,10.9,181,2500,25485,0,0,70,100,348,5,0,0,4,Commercial,5.61,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
2013,Audi A-Class,Audi,Hatchback,E,1.8,900,500,9.5,250,840,72675,0,0,197,290,493,5,426,1,5,Personal,8.81,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
2014,Fiat X-Class,Fiat,Wagon,A,15.5,900,364,10.2,219,1072,32715,44,0,144,212,630,5,514,1,4,Personal,5.04,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
2015,Fiat G-Class,Fiat,Sedan,C,0,840,548,10.8,206,1032,43354,0,0,138,253,577,5,536,1,5,Personal,9.04,4,Diesel,Diesel,Vehicle_Size,1,ICE
2016,Saab O3,Saab,Pickup,A,1.5,900,371,9.2,188,2500,30703,0,0,99,139,521,5,0,0,4,Commercial,6.39,1,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
2017,Citroën Q33,Citroën,SUV,F,0,1100,469,7.1,250,1837,117848,0,0,354,554,651,6,749,2,4,Commercial,8.96,10,Petrol,Petrol,Vehicle_Size,2,ICE
2018,Volkswagen NN-3,Volkswagen,Hatchback,E,0,949,584,8,250,624,68424,0,0,252,451,595,5,470,2,4,Personal,11.15,6,Petrol,Petrol,Vehicle_Size,2,ICE
2019,Nissan N4x,Nissan,Hatchback,C,0,1066,450,10.2,210,817,40205,0,0,98,148,494,5,365,0,4,Personal,7.18,2,Diesel,Diesel,Vehicle_Size,0,ICE
2020,Seat MM-2,Seat,Crossover,B,0,684,621,9.1,207,1419,32544,0,0,142,220,479,7,662,1,4,Commercial,11.86,3,Petrol,Petrol,Vehicle_Size,1,ICE
